w	a	n_w_in_corp	corpus_size	n_pattern
sané	116	13331	638639	633
punika	54	5730	638639	633
ring	53	12187	638639	633
lan	44	5802	638639	633
patut	36	1645	638639	633
becik	35	972	638639	633
prasida	30	2047	638639	633
dados	29	2060	638639	633
mangda	27	2143	638639	633
nénten	26	3438	638639	633
pisan	26	1625	638639	633
ngrereh	25	357	638639	633
genah	23	797	638639	633
pinaka	23	1441	638639	633
puniki	23	2868	638639	633
utawi	22	2111	638639	633
wantah	22	2156	638639	633
srana	21	167	638639	633
prabéa	20	159	638639	633
titiang	20	1239	638639	633
bali	19	3733	638639	633
galah	19	343	638639	633
manah	19	477	638639	633
nyanggra	19	153	638639	633
i	18	6941	638639	633
sarana	17	204	638639	633
wénten	17	2935	638639	633
jagi	16	675	638639	633
angga	15	390	638639	633
taler	15	2688	638639	633
pacang	14	2003	638639	633
rasa	14	682	638639	633
jinah	13	259	638639	633
ipun	11	1321	638639	633
makarya	11	567	638639	633
tiang	11	3684	638639	633
bekel	10	62	638639	633
nagingin	10	95	638639	633
ri	10	1358	638639	633
kauripané	9	102	638639	633
kémanten	9	458	638639	633
malih	9	1188	638639	633
napi	9	949	638639	633
piranti	9	55	638639	633
sampun	9	3368	638639	633
toya	9	351	638639	633
tur	9	2108	638639	633
dana	8	122	638639	633
gumanti	8	398	638639	633
ja	8	1373	638639	633
krama	8	1759	638639	633
mabuat	8	130	638639	633
madué	8	949	638639	633
malajah	8	274	638639	633
ngwangun	8	185	638639	633
nincapang	8	225	638639	633
sajeroning	8	724	638639	633
sakancan	8	435	638639	633
ka	7	2071	638639	633
miwah	7	1752	638639	633
ngirangin	7	45	638639	633
nglanturang	7	131	638639	633
numbas	7	153	638639	633
raga	7	1135	638639	633
sakadi	7	1833	638639	633
tan	7	1793	638639	633
upacara	7	773	638639	633
utsaha	7	197	638639	633
anak	6	2709	638639	633
anggaran	6	47	638639	633
baliné	6	877	638639	633
baos	6	559	638639	633
basa	6	829	638639	633
boya	6	472	638639	633
gegamelan	6	17	638639	633
nglimbakang	6	104	638639	633
ngruruh	6	98	638639	633
nunas	6	308	638639	633
pamargi	6	282	638639	633
polih	6	503	638639	633
sareng	6	1594	638639	633
sasuluh	6	27	638639	633
seni	6	462	638639	633
tunggil	6	385	638639	633
budaya	5	536	638639	633
dasar	5	173	638639	633
ida	5	2468	638639	633
inucap	5	474	638639	633
kalih	5	572	638639	633
kaperluan	5	36	638639	633
kaping	5	283	638639	633
kauripan	5	224	638639	633
malaksana	5	181	638639	633
manusa	5	477	638639	633
margi	5	168	638639	633
mecikang	5	57	638639	633
nambengin	5	27	638639	633
ngaturang	5	435	638639	633
nyelehin	5	75	638639	633
para	5	1616	638639	633
pikayunan	5	159	638639	633
raris	5	818	638639	633
sami	5	578	638639	633
sampunang	5	320	638639	633
tanah	5	439	638639	633
tetujon	5	146	638639	633
turmaning	5	239	638639	633
yéning	5	1485	638639	633
agama	4	462	638639	633
amati	4	30	638639	633
amerta	4	36	638639	633
bantang	4	20	638639	633
becikang	4	21	638639	633
daging	4	209	638639	633
dané	4	882	638639	633
désa	4	788	638639	633
encén	4	54	638639	633
indria	4	50	638639	633
jagat	4	570	638639	633
kaweruhané	4	22	638639	633
kawigunayang	4	60	638639	633
mabanten	4	24	638639	633
maguna	4	64	638639	633
mangdané	4	299	638639	633
mangkin	4	1591	638639	633
manten	4	199	638639	633
mawiguna	4	51	638639	633
minab	4	493	638639	633
nabdabin	4	63	638639	633
nangiang	4	61	638639	633
nanging	4	1377	638639	633
naur	4	55	638639	633
ngabén	4	111	638639	633
ngamargiang	4	209	638639	633
ngaruruh	4	23	638639	633
ngemit	4	35	638639	633
ngicalang	4	72	638639	633
ngulati	4	75	638639	633
nika	4	469	638639	633
niki	4	245	638639	633
nyaga	4	86	638639	633
nyuciang	4	70	638639	633
pamargin	4	284	638639	633
pasar	4	113	638639	633
paumahan	4	60	638639	633
pencemaran	4	13	638639	633
pinih	4	347	638639	633
pipis	4	394	638639	633
prabéya	4	9	638639	633
pratiwimba	4	18	638639	633
roang	4	13	638639	633
rp	4	80	638639	633
sakéwanten	4	522	638639	633
saking	4	2809	638639	633
sane	4	1274	638639	633
sastra	4	564	638639	633
semangat	4	76	638639	633
sesuluh	4	30	638639	633
sinalih	4	185	638639	633
siosan	4	566	638639	633
suci	4	300	638639	633
tetuladan	4	28	638639	633
titi	4	43	638639	633
urip	4	184	638639	633
utama	4	301	638639	633
akéh	3	885	638639	633
alami	3	14	638639	633
ané	3	4315	638639	633
antuk	3	2251	638639	633
asiki	3	152	638639	633
bakau	3	34	638639	633
bebaosan	3	44	638639	633
beras	3	66	638639	633
beton	3	26	638639	633
bhakti	3	122	638639	633
brana	3	57	638639	633
