collocs	anggen
sané	116
punika	54
ring	53
lan	44
patut	36
becik	35
prasida	30
dados	29
mangda	27
nénten	26
pisan	26
ngrereh	25
genah	23
pinaka	23
puniki	23
utawi	22
wantah	22
srana	21
prabéa	20
titiang	20
bali	19
galah	19
manah	19
nyanggra	19
i	18
sarana	17
wénten	17
jagi	16
angga	15
taler	15
pacang	14
rasa	14
jinah	13
ipun	11
makarya	11
tiang	11
bekel	10
nagingin	10
ri	10
kauripané	9
kémanten	9
malih	9
napi	9
piranti	9
sampun	9
toya	9
tur	9
dana	8
gumanti	8
ja	8
krama	8
mabuat	8
madué	8
malajah	8
ngwangun	8
nincapang	8
sajeroning	8
sakancan	8
ka	7
miwah	7
ngirangin	7
nglanturang	7
numbas	7
raga	7
sakadi	7
tan	7
upacara	7
utsaha	7
anak	6
anggaran	6
baliné	6
baos	6
basa	6
boya	6
gegamelan	6
nglimbakang	6
ngruruh	6
nunas	6
pamargi	6
polih	6
sareng	6
sasuluh	6
seni	6
tunggil	6
budaya	5
dasar	5
ida	5
inucap	5
kalih	5
kaperluan	5
kaping	5
kauripan	5
malaksana	5
manusa	5
margi	5
mecikang	5
nambengin	5
ngaturang	5
nyelehin	5
para	5
pikayunan	5
raris	5
sami	5
sampunang	5
tanah	5
tetujon	5
turmaning	5
yéning	5
agama	4
amati	4
amerta	4
bantang	4
becikang	4
daging	4
dané	4
désa	4
encén	4
indria	4
jagat	4
kaweruhané	4
kawigunayang	4
mabanten	4
maguna	4
mangdané	4
mangkin	4
manten	4
mawiguna	4
minab	4
nabdabin	4
nangiang	4
nanging	4
naur	4
ngabén	4
ngamargiang	4
ngaruruh	4
ngemit	4
ngicalang	4
ngulati	4
nika	4
niki	4
nyaga	4
nyuciang	4
pamargin	4
pasar	4
paumahan	4
pencemaran	4
pinih	4
pipis	4
prabéya	4
pratiwimba	4
roang	4
rp	4
sakéwanten	4
saking	4
sane	4
sastra	4
semangat	4
sesuluh	4
sinalih	4
siosan	4
suci	4
tetuladan	4
titi	4
urip	4
utama	4
akéh	3
alami	3
ané	3
antuk	3
asiki	3
bakau	3
bebaosan	3
beras	3
beton	3
bhakti	3
brana	3
buku	3
canang	3
cara	3
conto	3
cukup	3
déwék	3
guru	3
hutan	3
indik	3
jagaté	3
jalaran	3
jiwa	3
kalaksanayang	3
kama	3
kantun	3
kayu	3
kayun	3
kirangan	3
kulawarga	3
majeng	3
makudang-kudang	3
masayuban	3
mayadnya	3
mayasa	3
melukat	3
midep	3
mreténin	3
mulat	3
nambakin	3
nawengin	3
ngamarginin	3
ngamolihang	3
ngaryanang	3
ngawangun	3
ngelah	3
ngentosin	3
ngiring	3
nglestariang	3
nglimurang	3
ngulurin	3
nué	3
nyawis	3
nylimurang	3
ongkara	3
pangancan	3
pangupa	3
paplajahan	3
pariwisata	3
pengawas	3
pengobatan	3
perlu	3
pisang	3
ragané	3
sajabaning	3
sanghyang	3
sangkaning	3
sapatutnyané	3
sarwa	3
sekar	3
silih	3
soang-soang	3
suwung	3
tamba	3
tatkala	3
terapi	3
timpal	3
tiosan	3
tresna	3
udara	3
upakara	3
wenten	3
yadnya	3
yan	3
a	2
adat	2
ajahan	2
akidik	2
alam	2
arta	2
artha	2
aungan	2
aunit	2
awinan	2
aya	2
baas	2
bahan	2
bak	2
banjar	2
banten	2
baru	2
batang	2
bayu	2
be	2
becikan	2
berkorban	2
biopéstisida	2
biosurfaktan	2
brata	2
buku-buku	2
buléléng	2
bulu	2
busuk	2
cair	2
cocok	2
deterjen	2
dija	2
don	2
duaning	2
dumun	2
durusang	2
empelan	2
galahé	2
galahnyané	2
galungan	2
gas	2
génerasi	2
gondok	2
gong	2
gumantiné	2
gumi	2
idup	2
ilang	2
imba	2
indonésia	2
janten	2
jnyana	2
kaadol	2
kabuatang	2
kafé	2
kagunayang	2
kalaning	2
kalimbakang	2
kalintang	2
kanggén	2
kanti	2
kantos	2
kapatutan	2
kapolihang	2
kara	2
karang	2
kasukertan	2
kasukertané	2
katangiang	2
katelasang	2
kawéntenan	2
kekuatan	2
kénten	2
kesenian	2
khusus	2
kocap	2
kuningan	2
lahan	2
lakar	2
langkung	2
larapan	2
leluhuré	2
mageng	2
manahé	2
mandala	2
manggala	2
manggihin	2
manut	2
maosang	2
mapiteges	2
mapitulung	2
maring	2
marupa	2
masyarakat	2
masyarakaté	2
maturan	2
merta	2
meseh	2
molihang	2
mrasidayang	2
mupulang	2
musik	2
nangun	2
nanjaang	2
nees	2
nepas	2
nepasin	2
ngacep	2
ngadol	2
ngajegang	2
ngalemekin	2
ngamelang	2
ngamertain	2
nganggén	2
ngangkat	2
ngantos	2
ngaryanin	2
ngastitiang	2
ngawé	2
ngawi	2
ngawigunayang	2
ngayah	2
ngeremin	2
ngeret	2
ngirim	2
nglaksanayang	2
nglindungin	2
ngret	2
ngubadin	2
nguber	2
ngucicak	2
ngukuhang	2
ngupapira	2
ngwéntenang	2
nulungin	2
numbuhang	2
nyayagayang	2
nyelimurang	2
nyepi	2
nyiagayang	2
nyiksik	2
nyimpen	2
nyokong	2
nyujuh	2
nyuluhin	2
nyumbungang	2
ogoh-ogoh	2
olih	2
pabuat	2
paiketan	2
paindikan	2
pakakas	2
pakibeh	2
pangupajiwa	2
panuntun	2
parenungan	2
parilaksana	2
pastika	2
pawangunan	2
pendidikan	2
penelitian	2
pengalaman	2
pepineh	2
pertanian	2
pésta	2
pikayun	2
pisarat	2
polusi	2
prabu	2
praja	2
punia	2
pura	2
putih	2
radio	2
rahina	2
rakyaté	2
s-	2
sameton	2
sampunangké	2
sang	2
sanjata	2
santukan	2
sarahina	2
sarahina-rahina	2
sarira	2
sawitra	2
sekadi	2
sekolah	2
sertifikat	2
sesana	2
sesolahan	2
setata	2
shanti	2
sida	2
sisa-sisa	2
skripsi	2
sms	2
spiritual	2
sraya	2
substrat	2
tamiu	2
taneman	2
tawah	2
tegesné	2
téknologi	2
telas	2
temon-temon	2
tenaga	2
tetamianné	2
tetaneman	2
tetep	2
tetumbuhan	2
tiga	2
tirtha	2
topéng	2
ucapan	2
udeng	2
umah	2
upaminné	2
uratian	2
wali	2
wang	2
wangunan	2
wewangunan	2
wewidangan	2
widhi	2
wirasa	2
yaning	2
acukupan	1
adnyana	1
agamané	1
ageng	1
aids	1
air	1
akademik	1
akediknyané	1
akéhan	1
akéhné	1
aksara	1
alas-alas	1
alat	1
ali-ali	1
alit	1
alit-alité	1
alternatif	1
alternativé	1
ama	1
ambil	1
among	1
ampura	1
anaké	1
andangjaya	1
andap	1
anémé	1
angen-angen	1
anggannyané	1
anggota	1
angka	1
anom	1
anyar	1
apang	1
apik	1
aran	1
asapunapi	1
asapunika	1
asapuniki	1
asep	1
astiti	1
asuluh	1
atenga	1
atin	1
atur	1
australi	1
awak	1
awét	1
ayah	1
ayam	1
ba	1
babesen	1
baduur	1
bajang	1
bakat	1
bakti	1
balangan	1
balé	1
balian	1
balih-balihan	1
banda	1
banglé	1
banjar-banjaré	1
banyu	1
bapa	1
basannyané	1
basé	1
baséné	1
batako	1
bati	1
batis	1
batuk	1
batukaru	1
bebagrigan	1
bebaksan	1
becikné	1
beciknyané	1
bedéng-bedéng	1
bejigar	1
bekbek	1
bemo	1
bendahara	1
bénjang	1
bénténg	1
beseh	1
beténan	1
biar	1
biasa	1
bisnis	1
blangkon	1
bline	1
boya-boya	1
budal	1
budayané	1
buin	1
buntilané	1
buron	1
busana	1
busung	1
cacing	1
caluh	1
carita	1
carman	1
cendet	1
centre	1
cihna	1
cinta	1
contoné	1
crita	1
cukupan	1
cupit	1
daar	1
dadakan	1
dadi	1
dadong	1
daérah	1
dagangan	1
dagingin	1
dauhé	1
daya	1
dekah	1
demen	1
démokrasi	1
dénpasar	1
désané	1
dewa	1
déwéknyané	1
déwi	1
dewok	1
dharma	1
digital	1
dina	1
dinginé	1
diri	1
drama	1
dresta	1
drika	1
driki	1
duk	1
durma	1
durung	1
duur	1
dwi	1
eceng	1
écéng	1
eddy	1
éféktif	1
égar	1
ékonominé	1
ékosistem	1
élah	1
elingin	1
émisi	1
encen	1
énerginyané	1
engsep	1
ening	1
ento	1
enzim	1
érlangga	1
facebook	1
féstival	1
gagasan	1
gajah	1
gaji	1
galahné	1
gambelan	1
gamel	1
gamelan	1
gangguan	1
garapan	1
gegambelan	1
geginané	1
gegodan	1
gegodané	1
gelar	1
gelis	1
geni	1
gesité	1
gianyar	1
githa	1
grip	1
gugu	1
gunung-sagara	1
guyu-guyuan	1
hari	1
hartoyo	1
hibiscus	1
honor	1
hot	1
hotel-hotél	1
hredaya	1
hukum	1
idané	1
idé	1
idupé	1
idupnyané	1
igama	1
ikang	1
inap	1
indiké	1
indonésiané	1
indrian	1
inem	1
informasi	1
ingkupang	1
inguh	1
internasional	1
inum	1
ipuné	1
iraga	1
iriki	1
isin	1
iwa	1
iwau	1
jabatané	1
jadma	1
jakti	1
jakti-jakti	1
jalan	1
jalanang	1
jaman	1
janané	1
jangan	1
jangi	1
jarang	1
jaruh	1
jejaring	1
jejeh	1
jelékné	1
jero	1
jinahé	1
jineng	1
kaambil	1
kaandelang	1
kaanggé	1
kaanggit	1
kaawi	1
kabecikang	1
kablibagang	1
kabrarut	1
kabudayan	1
kadadosang	1
kadasarin	1
kadautnyané	1
kadi	1
kadol	1
kadruéanne	1
kagamel	1
kagedig	1
kahuripan	1
kainné	1
kajaga	1
kakasuban	1
kaketus	1
kala	1
kalaksanyang	1
kalangan	1
kalaran	1
kalestariang	1
kaletehan	1
kamané	1
kamargiang	1
kamolihang	1
kampanye	1
kampid	1
kanikaang	1
kantongné	1
kaolah	1
kaon	1
kaperluannyané	1
kapertama	1
kapetengan	1
kapica	1
kaplug	1
kaputungan	1
karahajengan	1
karajahengan	1
karana	1
karasa	1
karasayang	1
karbondioksida	1
karma	1
karmané	1
karna	1
karuntutin	1
karya	1
kasaktén	1
kasaktian	1
kasalahwigunayang	1
kasayagayang	1
kasediang	1
kaselang	1
kasiagayang	1
kasisihang	1
kasobyahang	1
kasudi	1
kasué-suén	1
kasujatianné	1
kasusilané	1
katabuhin	1
katah	1
katambetané	1
katempuh	1
katikné	1
katincapang	1
katuréksain	1
katusuk	1
kaucapang	1
kauningin	1
kauntungannyané	1
kauripinané	1
kauripn	1
kawagedan	1
kawalék	1
kawangun	1
kawedar	1
kawigunan	1
kawigunanan	1
kawigunanné	1
kawikanan	1
kawikanané	1
kaya	1
kayuné	1
kebahasaan	1
kecer	1
kedis	1
kegiatan	1
kélangan	1
kelapa	1
kemacetan	1
kemanten	1
kembulan	1
keneh	1
kepah	1
kepentingan	1
keperluan	1
kerajinan	1
kerja	1
kerti	1
kérti	1
keseimbangan	1
ketah	1
keunikan	1
kewagedan	1
kidikan	1
kirang	1
kisah	1
kléméd	1
kmb	1
kolam	1
komisi	1
kompléks	1
komunikasi	1
konsep	1
kontribusi	1
korupsi	1
kota	1
kramane	1
kramané	1
kréatifitas	1
ksatria	1
kuala	1
kuliah	1
kulkul	1
kumbakarna	1
kumkuman	1
kunci	1
kurenan	1
kuseknyané	1
kutuh	1
kwalitas	1
l	1
label	1
lacuré	1
laksana	1
lalanguan	1
lalu	1
lanang	1
lango	1
latu	1
layon	1
lédang	1
lega	1
legan	1
lelipi	1
leluhu	1
lelunganan	1
leluu	1
lian	1
lianan	1
lidi	1
lima	1
limang	1
limbah	1
lingga-yoni	1
linggih	1
lingkungan	1
listrik	1
los	1
lpd	1
luh	1
ma-brahma	1
ma-saraswati	1
mabasa	1
mabersih	1
mabersih-bersih	1
mabusana	1
macan	1
maciri	1
madana	1
maderbe	1
madiksa	1
madingang	1
madolan	1
magaang	1
magaé	1
magambel	1
magehin	1
magendu	1
magianin	1
mahawinan	1
mahbahang	1
mairing	1
majanten	1
makaca	1
makarma	1
makeber	1
makéh	1
makemit	1
makompetisi	1
makréativitas	1
maksang-maksang	1
makudang	1
mala	1
malaib	1
malajahang	1
malancaran	1
malaysia	1
maling	1
mamaca	1
mamancing	1
mamargi	1
mambal	1
manian	1
manresti	1
mantra	1
mantuk	1
manuntun	1
manusané	1
manyama	1
manyirat	1
mapaica	1
mapajenek	1
mapanauran	1
mapangayah	1
mapidabdab	1
maplesiran	1
marajah	1
maratengan	1
mareresik	1
margi-margi	1
margiang	1
margine	1
marginé	1
marginin	1
maripurnayang	1
martabak	1
masaih	1
masari	1
maseseleh	1
masesimbing	1
mashanti	1
masilihin	1
masimakrama	1
masiram	1
masuci	1
masuluh	1
matemu	1
material	1
matetanduran	1
matetulung	1
matiosan	1
matumbasan	1
matur	1
matutur	1
mautang	1
mautsaha	1
mawali	1
mawasta	1
mawija	1
mawinan	1
mawit	1
mayah	1
mayungin	1
medal	1
media	1
média	1
mekel	1
meli	1
méméh	1
menarik	1
mendak	1
meneng	1
merluang	1
mesti	1
metis	1
metoh	1
méweh	1
méwehnyané	1
miara	1
midabdabin	1
mikayunin	1
mikukuhin	1
mimpin	1
minakadi	1
mindahang	1
minehang	1
miriban	1
misadia	1
miteketin	1
mlajahin	1
mobil	1
modéren	1
momen	1
monobrata	1
montor	1
moral	1
mranén	1
mrasidayaang	1
mrebatin	1
mredi	1
mrika-mriki	1
muané	1
muatang	1
muda	1
munduhang	1
mundut	1
muputang	1
murid-muridé	1
nabdabang	1
nadosang	1
naginging	1
nah	1
nambanin	1
nampanin	1
nampung	1
nandan	1
nandur	1
nang	1
nanjang	1
nanpa	1
napimalih	1
nasarin	1
nawur	1
nebusin	1
nedunang	1
negepin	1
negtegang	1
neguhang	1
nekedang	1
neken	1
nekepin	1
nelasang	1
nelayané	1
nelebin	1
neliti	1
nembusang	1
nengsek	1
nentuang	1
nepék	1
nerbitang	1
ngadanin	1
ngaé	1
ngagengang	1
ngahgah	1
ngajeng	1
ngalahang	1
ngalaksanayang	1
ngalangin	1
ngamanfaatang	1
ngambel	1
ngamedalan	1
ngamedalang	1
ngamel	1
ngamerluang	1
ngamertanin	1
ngamet	1
ngamongin	1
ngangetang	1
nganggé	1
nganikain	1
nganter	1
nganturang	1
nganutin	1
ngaptiang	1
ngaput	1
ngardi	1
ngarepin	1
ngargha	1
ngarya	1
ngasilang	1
ngatur	1
ngaud	1
ngawinduaang	1
ngéka	1
ngelimbakang	1
ngelopokin	1
ngembangin	1
ngempahang	1
ngendahang	1
ngepah	1
ngepung	1
ngesorang	1
ngetisang	1
ngetus	1
ngias	1
ngibarang	1
ngicén	1
ngicénin	1
ngidupang	1
ngilangang	1
nginum	1
ngisep	1
ngisinin	1
ngitung	1
ngitungang	1
nglarang	1
nglawan	1
nglila	1
nglukis	1
ngluncurang	1
ngoda	1
ngogo	1
ngolah	1
ngorupsiang	1
ngraketang	1
ngranjing	1
ngrastiti	1
ngrastitiang	1
ngrédit	1
ngrerehang	1
ngriptayang	1
nguatang	1
ngubuh	1
ngukuhin	1
ngukur	1
ngulungang	1
ngunggahang	1
nguripang	1
nguripin	1
nguruh	1
ngusak	1
ngutang	1
ngutang-ngutang	1
nguup	1
nguwah	1
ngwales	1
ngwangiang	1
ngwantu	1
ngwayang	1
ngwentenang	1
ngwerdiang	1
ngwetuang	1
ngyadnyayang	1
ngyasaang	1
niger	1
nilai	1
nilai-nilai	1
nilar	1
nincep	1
ning	1
ningkahang	1
nitéksi	1
niyasa	1
nonformalé	1
nuldulin	1
nulis	1
numpahang	1
nunggalang	1
nungkulag	1
nunjang	1
nuntun	1
nuntunin	1
nuréksain	1
nusuk	1
nuturang	1
nyabarin	1
nyadia	1
nyambung	1
nyaplak	1
nyaruang	1
nyaurin	1
nyedot	1
nyejahtrayang	1
nyelametang	1
nyelametin	1
nyerep	1
nyeritayang	1
nyihnayang	1
nyikiang	1
nyilibang	1
nyinahang	1
nyisihang	1
nyoblos	1
nyolahang	1
nyongcong	1
nyuh	1
nyukat	1
nyumbang	1
nyungkanin	1
nyurat	1
nyuratang	1
nyusun	1
nyutetang	1
obat	1
olahan	1
oneng	1
oong	1
opname	1
organik	1
padi	1
padunungan	1
paémbonan	1
pagarus	1
pagehang	1
pajarnyané	1
pajeg	1
pakaryan	1
pakendel	1
pakraman	1
palajahan	1
palemahan	1
pamaculan	1
pamaksan	1
pamidabdabnyané	1
pamuponnyané	1
panas	1
pancasila	1
pancer	1
pangargan	1
pangawi	1
pangéling-éling	1
pangentos	1
pangerupukanné	1
pangidupan	1
pangiket	1
pangléakané	1
pangrasa	1
