w	a	n_w_in_corp	corpus_size	n_pattern
ané	43	4315	638639	425
dadi	38	1869	638639	425
meli	33	224	638639	425
pipis	29	394	638639	425
lakar	28	1453	638639	425
tiang	26	3684	638639	425
sing	25	3445	638639	425
apa	22	962	638639	425
ento	21	1485	638639	425
pis	21	140	638639	425
ada	20	2588	638639	425
apang	18	985	638639	425
ngalih	18	416	638639	425
tusing	15	2014	638639	425
di	14	4073	638639	425
keneh	13	437	638639	425
mayah	13	107	638639	425
gén	12	260	638639	425
lan	12	5802	638639	425
i	11	6941	638639	425
ngelah	11	690	638639	425
tongos	11	309	638639	425
ngaé	10	295	638639	425
nyidayang	9	321	638639	425
suba	9	2155	638639	425
tuah	9	544	638639	425
ba	8	893	638639	425
jalan	8	292	638639	425
tur	8	2108	638639	425
yén	8	2294	638639	425
carik	7	163	638639	425
liu	7	610	638639	425
mesuang	7	142	638639	425
né	7	522	638639	425
timpal	7	229	638639	425
yéh	7	260	638639	425
amonto	6	50	638639	425
anak	6	2709	638639	425
buin	6	1100	638639	425
gumi	6	430	638639	425
jani	6	1112	638639	425
kal	6	118	638639	425
kén	6	360	638639	425
kéto	6	1442	638639	425
luung	6	128	638639	425
ngilangang	6	20	638639	425
pang	6	224	638639	425
sinah	6	843	638639	425
srana	6	167	638639	425
bapa	5	730	638639	425
dogén	5	449	638639	425
galah	5	343	638639	425
kopi	5	91	638639	425
manah	5	477	638639	425
masi	5	714	638639	425
mula	5	646	638639	425
nyeduh	5	9	638639	425
perlu	5	171	638639	425
to	5	490	638639	425
tuak	5	101	638639	425
apabuin	4	211	638639	425
api	4	136	638639	425
baju	4	115	638639	425
bakat	4	165	638639	425
basang	4	119	638639	425
bekel	4	62	638639	425
bibit	4	30	638639	425
bli	4	862	638639	425
cang	4	229	638639	425
cukup	4	34	638639	425
gaé	4	146	638639	425
gena	4	9	638639	425
guru	4	675	638639	425
ia	4	1733	638639	425
kurenan	4	163	638639	425
lantas	4	690	638639	425
magaé	4	182	638639	425
makejang	4	622	638639	425
méanin	4	11	638639	425
nak	4	602	638639	425
nasi	4	123	638639	425
ngaba	4	215	638639	425
ngadep	4	81	638639	425
nyama	4	146	638639	425
padidi	4	315	638639	425
pianak	4	360	638639	425
telah	4	166	638639	425
umah	4	296	638639	425
upacara	4	773	638639	425
abedik	3	102	638639	425
abesik	3	96	638639	425
aci-aci	3	8	638639	425
awak	3	266	638639	425
baas	3	68	638639	425
bakal	3	61	638639	425
basa	3	829	638639	425
bé	3	79	638639	425
biaya	3	17	638639	425
bisa	3	543	638639	425
bunga	3	80	638639	425
cerik	3	102	638639	425
ci	3	109	638639	425
ené	3	174	638639	425
isin	3	164	638639	425
itung-itungan	3	7	638639	425
jiwa	3	104	638639	425
jnanané	3	6	638639	425
juta	3	53	638639	425
lebih	3	95	638639	425
madaar	3	71	638639	425
madé	3	1084	638639	425
madéné	3	24	638639	425
majalan	3	308	638639	425
masih	3	613	638639	425
melah	3	201	638639	425
mémé	3	362	638639	425
miwah	3	1752	638639	425
mobil	3	142	638639	425
motor	3	76	638639	425
munyi	3	130	638639	425
nambakin	3	50	638639	425
nelahang	3	42	638639	425
ngabénang	3	13	638639	425
ngayah	3	196	638639	425
ngisinin	3	46	638639	425
ngorahang	3	341	638639	425
ngubadin	3	29	638639	425
nyegerang	3	13	638639	425
nyidang	3	139	638639	425
nyilih	3	48	638639	425
nyimpen	3	26	638639	425
nyujukang	3	18	638639	425
prajani	3	149	638639	425
rasa	3	682	638639	425
sikut	3	42	638639	425
tanah	3	439	638639	425
tapel	3	97	638639	425
teka	3	417	638639	425
tiangé	3	945	638639	425
ulian	3	574	638639	425
utawi	3	2111	638639	425
wiadin	3	284	638639	425
yan	3	906	638639	425
yening	3	103	638639	425
abun	2	2	638639	425
adep	2	34	638639	425
agama	2	462	638639	425
aji	2	455	638639	425
alasan	2	18	638639	425
anaké	2	1000	638639	425
ane	2	876	638639	425
awai	2	27	638639	425
baan	2	535	638639	425
bank	2	79	638639	425
baos	2	559	638639	425
batu	2	135	638639	425
beli	2	158	638639	425
bir	2	36	638639	425
boya	2	472	638639	425
cangé	2	55	638639	425
cariké	2	75	638639	425
cenik	2	166	638639	425
cening	2	188	638639	425
cicing	2	84	638639	425
dana	2	122	638639	425
dasa	2	422	638639	425
dasar	2	173	638639	425
dedaaran	2	18	638639	425
dija	2	348	638639	425
dini	2	249	638639	425
ditu	2	490	638639	425
duang	2	174	638639	425
duur	2	215	638639	425
entungina	2	8	638639	425
gegisian	2	4	638639	425
hp	2	61	638639	425
iang	2	41	638639	425
iraga	2	188	638639	425
ja	2	1373	638639	425
jakan	2	9	638639	425
jaman	2	165	638639	425
jukut	2	44	638639	425
ka	2	2071	638639	425
kalingké	2	25	638639	425
kanti	2	692	638639	425
karirihan	2	13	638639	425
kedis	2	103	638639	425
kel	2	42	638639	425
kemulan	2	16	638639	425
kenehé	2	113	638639	425
kéweh	2	94	638639	425
koné	2	680	638639	425
kuliah	2	81	638639	425
liunan	2	141	638639	425
lpd	2	170	638639	425
luh	2	1256	638639	425
luungan	2	43	638639	425
luwung	2	21	638639	425
mabalih	2	131	638639	425
mabayahan	2	8	638639	425
maceki	2	28	638639	425
malasang	2	7	638639	425
males	2	24	638639	425
malu	2	266	638639	425
mancing	2	14	638639	425
mandus	2	30	638639	425
mapunduh	2	15	638639	425
masang	2	45	638639	425
masugi	2	6	638639	425
mata	2	92	638639	425
mbok	2	111	638639	425
média	2	12	638639	425
meliang	2	19	638639	425
men	2	177	638639	425
menahin	2	23	638639	425
muah	2	101	638639	425
musuh	2	55	638639	425
nagih	2	118	638639	425
nah	2	286	638639	425
nanging	2	1377	638639	425
negul	2	15	638639	425
néh	2	7	638639	425
ngantén	2	84	638639	425
nganti	2	238	638639	425
ngetohin	2	31	638639	425
ngigel	2	85	638639	425
