collocs	anggon
ané	43
dadi	38
meli	33
pipis	29
lakar	28
tiang	26
sing	25
apa	22
ento	21
pis	21
ada	20
apang	18
ngalih	18
tusing	15
di	14
keneh	13
mayah	13
gén	12
lan	12
i	11
ngelah	11
tongos	11
ngaé	10
nyidayang	9
suba	9
tuah	9
ba	8
jalan	8
tur	8
yén	8
carik	7
liu	7
mesuang	7
né	7
timpal	7
yéh	7
amonto	6
anak	6
buin	6
gumi	6
jani	6
kal	6
kén	6
kéto	6
luung	6
ngilangang	6
pang	6
sinah	6
srana	6
bapa	5
dogén	5
galah	5
kopi	5
manah	5
masi	5
mula	5
nyeduh	5
perlu	5
to	5
tuak	5
apabuin	4
api	4
baju	4
bakat	4
basang	4
bekel	4
bibit	4
bli	4
cang	4
cukup	4
gaé	4
gena	4
guru	4
ia	4
kurenan	4
lantas	4
magaé	4
makejang	4
méanin	4
nak	4
nasi	4
ngaba	4
ngadep	4
nyama	4
padidi	4
pianak	4
telah	4
umah	4
upacara	4
abedik	3
abesik	3
aci-aci	3
awak	3
baas	3
bakal	3
basa	3
bé	3
biaya	3
bisa	3
bunga	3
cerik	3
ci	3
ené	3
isin	3
itung-itungan	3
jiwa	3
jnanané	3
juta	3
lebih	3
madaar	3
madé	3
madéné	3
majalan	3
masih	3
melah	3
mémé	3
miwah	3
mobil	3
motor	3
munyi	3
nambakin	3
nelahang	3
ngabénang	3
ngayah	3
ngisinin	3
ngorahang	3
ngubadin	3
nyegerang	3
nyidang	3
nyilih	3
nyimpen	3
nyujukang	3
prajani	3
rasa	3
sikut	3
tanah	3
tapel	3
teka	3
tiangé	3
ulian	3
utawi	3
wiadin	3
yan	3
yening	3
abun	2
adep	2
agama	2
aji	2
alasan	2
anaké	2
ane	2
awai	2
baan	2
bank	2
baos	2
batu	2
beli	2
bir	2
boya	2
cangé	2
cariké	2
cenik	2
cening	2
cicing	2
dana	2
dasa	2
dasar	2
dedaaran	2
dija	2
dini	2
ditu	2
duang	2
duur	2
entungina	2
gegisian	2
hp	2
iang	2
iraga	2
ja	2
jakan	2
jaman	2
jukut	2
ka	2
kalingké	2
kanti	2
karirihan	2
kedis	2
kel	2
kemulan	2
kenehé	2
kéweh	2
koné	2
kuliah	2
liunan	2
lpd	2
luh	2
luungan	2
luwung	2
mabalih	2
mabayahan	2
maceki	2
malasang	2
males	2
malu	2
mancing	2
mandus	2
mapunduh	2
masang	2
masugi	2
mata	2
mbok	2
média	2
meliang	2
men	2
menahin	2
muah	2
musuh	2
nagih	2
nah	2
nanging	2
negul	2
néh	2
ngantén	2
nganti	2
ngetohin	2
ngigel	2
ngubuh	2
ngudiang	2
nu	2
nyakan	2
