collocs	anggon	anggen	n_coll	n_anggon	n_anggen	n_coll_anggen_others	n_coll_anggon_others	N	a_exp	assoc	p_fye	OR
a	0	2	2	2076	3399	3397	2076	5475	1.2416438356164383	greater	0.3853768499657159	Inf
aba	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
abadi	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
abedik	3	0	3	2076	3399	3399	2073	5475	1.8624657534246576	less	0.05446780043128109	Inf
abelian	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
abesik	3	0	3	2076	3399	3399	2073	5475	1.8624657534246576	less	0.05446780043128109	Inf
abulan	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
abun	2	0	2	2076	3399	3399	2074	5475	1.2416438356164383	less	0.1437330143492776	Inf
abungkul	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
abungkus	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
acepok	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
aci-aci	3	0	3	2076	3399	3399	2073	5475	1.8624657534246576	less	0.05446780043128109	Inf
acukupan	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
ada	20	0	20	2076	3399	3399	2056	5475	12.416438356164383	less	3.565178171361733e-9	Inf
adan	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
adat	0	2	2	2076	3399	3397	2076	5475	1.2416438356164383	greater	0.3853768499657159	Inf
adep	2	0	2	2076	3399	3399	2074	5475	1.2416438356164383	less	0.1437330143492776	Inf
adepa	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
adi	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
adian	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
adnyana	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
aéngan	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
agama	2	4	6	2076	3399	3395	2074	5475	3.724931506849315	greater	0.5874504630276773	1.2217967599410897
agamané	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
agem	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
ageman	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
ageng	1	1	2	2076	3399	3398	2075	5475	1.2416438356164383	less	0.6146231500342842	1.6375903614457832
aids	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
air	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
ajahan	0	2	2	2076	3399	3397	2076	5475	1.2416438356164383	greater	0.3853768499657159	Inf
ajaka	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
aji	2	0	2	2076	3399	3399	2074	5475	1.2416438356164383	less	0.1437330143492776	Inf
ajiné	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
akademik	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
akah	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
akatih	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
akediknyané	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
akéh	0	3	3	2076	3399	3396	2076	5475	1.8624657534246576	greater	0.2391969960412091	Inf
akéhan	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
akéhné	0	1	1	2076	3399	3398	2076	5475	0.6208219178082192	greater	0.6208219178082192	Inf
aketo	1	0	1	2076	3399	3399	2075	5475	0.6208219178082192	less	0.3791780821917808	Inf
akidik	0	2	2	2076	3399	3397	2076	5475	1.2416438356164383	greater	0.3853768499657159	Inf
aksara	1	1	2	2076	3399	3398	2075	5475	1.2416438356164383	less	0.6146231500342842	1.6375903614457832
alam	0	2	2	2076	3399	3397	2076	5475	1.2416438356164383	greater	0.3853768499657159	Inf
